devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
-3.0,0.0,,,,Ajax Zappitello,0.0,0.92053,0.390903,0.0,4.69084,,12.0,0.0,,0.156218,0.189938,0,0.0212325,3.0,17.0,,,-0.639327,3,0.0,0.0,-0.117438,-0.319663,,16163,3.0,D,,4.61834,0,0.0253727,0.639327,,0.0,2.0,,16.0,2.0
6.0,16.0,,,,Daniel Maltz,0.0,2.00049,0.745909,0.421053,8.205,,11.0,0.0378788,,0.382755,0.0,0,0.0186432,0.0,1.0,,,-1.74067,3,5.0,8.0,7.2799,-0.0916143,,1523,7.0,A,,0.9251,0,0.0241632,9.74067,,0.842105,3.0,,4.0,19.0
-4.0,5.0,,,,Ryan Siracusa,0.0,0.449923,0.06058,0.0,0.36348,,6.0,0.0,,0.688197,0.0,0,0.00673226,0.0,0.0,,,-3.81507,3,0.0,0.0,0.173542,-0.476884,,16164,4.0,A,,0.189938,0,0.00767933,3.81507,,0.625,2.0,,1.0,8.0
-2.0,0.0,,,,Alex Smith,0.0,1.28977,0.0801513,,0.400757,,5.0,0.0,,0.695844,0.0,0,0.0031072,0.0,1.0,,,,3,0.0,0.0,-0.334405,,,1537,2.0,M,,0.735162,0,0.00379747,,,,5.0,,3.0,0.0
-1.0,0.0,,,,Colin Burlace,0.0,4.1402,0.30017,,0.90051,,3.0,0.0,,0.303029,0.0,0,0.00362506,0.0,3.0,,,,3,0.0,0.0,-0.165348,,,20715,1.0,D,,1.06586,0,0.00436006,,,,1.0,,3.0,0.0
6.0,18.0,,,,Jack Brennan,0.0,2.30177,0.834408,0.375,9.17849,,11.0,0.0151515,,0.301473,0.0,0,0.0181253,0.0,1.0,,,-2.74432,3,2.0,9.0,8.44332,-0.114347,,1528,5.0,A,,0.735162,0,0.0219128,11.7443,,0.75,6.0,,3.0,24.0
0.0,0.0,,,,Michael Roche,3.0,1.33036,0.055116,,0.165348,,3.0,0.0,,0.0,0.0,0,0.00207147,0.0,1.0,,,,3,0.0,0.0,0.0,,,16165,0.0,M,,0.165348,3,0.000984529,,,,2.0,,0.0,0.0
-2.0,2.0,,,,Brett Makar,0.0,1.02715,0.457458,0.333333,5.4895,,12.0,0.0151515,,0.232983,0.189938,0,0.0222683,3.0,9.0,,,-0.348144,3,2.0,1.0,1.05432,-0.116048,,1532,5.0,D,,4.24525,0,0.0283544,1.34814,,0.666667,4.0,,21.0,3.0
,,,,,BJ Burlace,,,,,,,,,,,,,,,,,,,3,,,,,,16166,,D,,,,,,,,2.0,,,
4.0,8.0,,,,Daniel Kelly,0.0,5.39878,0.950587,0.454545,5.70352,,6.0,0.0,,0.124919,0.0,0,0.00880373,0.0,0.0,,,-0.638382,3,0.0,5.0,4.75383,-0.0580348,,16167,1.0,A,,0.94969,0,0.0105767,5.63838,,0.727273,2.0,,5.0,11.0
0.0,1.0,,,,Nick Redd,0.0,7.87361,0.570847,0.0,1.14169,,2.0,0.0,,0.0,0.189938,0,0.00362506,0.0,1.0,,,-0.550883,3,0.0,0.0,0.0266566,-0.550883,,16168,0.0,D,,0.9251,0,0.00466948,0.550883,,1.0,2.0,,5.0,1.0
-3.0,0.0,,,,Dawson Wynne,0.0,-8.01201,-0.248949,,-0.497898,,2.0,0.0,,2.34847,0.0,0,0.0015536,0.0,0.0,,,,3,0.0,0.0,-0.497898,,,2557,3.0,M,,0.0,0,0.00168776,,,,3.0,,0.0,0.0
,,,,,Westin Schmidt,,,,,,,,,,,,,,,,,,,3,,,,,,20716,,G,,,,,,,,1.0,,,
0.0,0.0,,,,King Ripley,0.0,8.77356,0.272612,,0.545224,,2.0,0.0,,0.0,0.189938,0,0.0015536,0.0,1.0,,,,3,0.0,0.0,0.0,,,16170,0.0,M,,0.355286,0,0.00196906,,,,2.0,,2.0,0.0
0.0,1.0,,,,Jack McDonald,0.0,2.57369,0.0266566,0.0,0.0266566,,1.0,0.0,,0.0,0.0,0,0.000517866,0.0,0.0,,,-0.54334,3,0.0,0.0,0.0266566,-0.54334,,16171,0.0,D,,0.0,0,0.000590717,0.54334,,1.0,2.0,,0.0,1.0
1.0,10.0,0.658147,,,Luke Wierman,313.0,1.13819,5.30487,0.615385,63.6584,,12.0,0.0227273,,0.0959931,55.2842,206,0.23304,3.0,5.0,,,1.46823,3,3.0,8.0,8.15181,0.112941,,16172,10.0,M,,0.222358,107,0.137637,6.53177,,0.769231,2.0,,103.0,13.0
-6.0,1.0,,,,Jake Higgins,0.0,0.75451,0.242256,0.0,2.42256,,10.0,0.0,,0.396367,2.08932,0,0.0160539,2.0,4.0,,,-0.540695,3,0.0,0.0,-0.97285,-0.540695,,1526,6.0,M,,1.30609,0,0.02,0.540695,,1.0,5.0,,18.0,1.0
32.0,42.0,,,,Jonathan Donville,0.0,2.59835,2.17987,0.462963,26.1584,,12.0,0.106061,,0.166558,0.0,0,0.0419472,2.0,0.0,,,-1.66176,3,14.0,25.0,26.0548,-0.0307734,,570,7.0,M,,0.10358,0,0.0555274,26.6618,,0.777778,5.0,,4.0,54.0
31.0,39.0,,,,Keegan Khan,0.0,2.58566,2.86551,0.52,34.3862,,12.0,0.136364,,0.228263,0.379876,0,0.0554117,0.0,1.0,,,1.75294,3,18.0,26.0,29.4724,0.0350588,,593,13.0,A,,4.53392,0,0.0752461,24.2471,,0.78,5.0,,25.0,50.0
1.0,1.0,0.546875,,,Gavin Tygh,64.0,1.23732,1.07649,1.0,10.7649,,10.0,0.0,,0.0,9.7424,35,0.0435008,0.0,0.0,,,0.449841,3,0.0,1.0,1.02248,0.449841,,1788,0.0,M,,0.0,29,0.0229536,0.550159,,1.0,3.0,,19.0,1.0
11.0,38.0,,,,Owen Murphy,0.0,2.05525,1.55395,0.44898,18.6474,,12.0,0.0227273,,0.41124,0.0,0,0.0378042,0.0,1.0,,,-2.3325,3,3.0,22.0,17.3424,-0.0476021,,383,14.0,A,,1.30498,0,0.0449789,24.3325,,0.77551,2.0,,6.0,49.0
-2.0,1.0,,,,Owen PRYBYLSKI,0.0,1.45987,0.287286,0.0,2.58557,,9.0,0.0,,0.217956,0.759752,0,0.00983946,0.0,6.0,,,-0.550159,3,0.0,0.0,-0.305894,-0.550159,,597,2.0,D,,2.13172,0,0.0121238,0.550159,,1.0,5.0,,10.0,1.0
,,,,,Zander Stapleton,,,,,,,,,,,,,,,,,,,5,,,,,,16194,,M,,,,,,,,2.0,,,
0.0,1.0,,,,JP Jackson,0.0,-8.71523,-0.165061,0.0,-0.330122,,2.0,0.0,,0.0,0.0,0,0.00094697,1.0,0.0,,,-0.527057,5,0.0,0.0,0.0266566,-0.527057,,16206,0.0,A,,-0.356779,0,0.00104822,0.527057,,1.0,2.0,,0.0,1.0
4.0,17.0,,,,Thomas Niedringhaus,0.0,1.90137,0.720214,0.21875,9.36278,,13.0,0.00900901,,0.166041,0.0,0,0.0189394,0.0,1.0,,,-5.64402,5,1.0,7.0,8.81756,-0.176375,,1838,4.0,A,,0.545224,0,0.0220381,12.644,,0.53125,3.0,,2.0,32.0
0.0,9.0,,,,Jett Dziama,0.0,1.30759,0.978218,0.25,12.7168,,13.0,0.036036,,0.152182,4.93839,0,0.0374053,4.0,6.0,,,-2.57429,5,4.0,4.0,5.24978,-0.160893,,2482,8.0,M,,2.52867,0,0.0480902,6.57429,,0.5625,4.0,,41.0,16.0
-1.0,1.0,,,,Anthony Forziati,0.0,11.6142,0.439933,1.0,0.879865,,2.0,0.0,,0.832135,0.0,0,0.00189394,0.0,0.0,,,0.571424,5,0.0,1.0,0.689927,0.571424,,16195,2.0,A,,0.189938,0,0.0021987,0.428576,,1.0,2.0,,1.0,1.0
