status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Men,0.274334,62,0,99.0,46,26.204,5,2022-02-26,9,10466
completedFromNCAA,NCAA D1 Men,0.737291,29,1,74.0,62,4.806,14,2022-03-05,11,10467
completedFromNCAA,NCAA D1 Men,0.548623,52,1,119.0,62,5.142,13,2022-03-19,12,10468
completedFromNCAA,NCAA D1 Men,0.0626713,62,1,138.0,54,25.434,9,2022-03-29,16,10469
completedFromNCAA,NCAA D1 Men,0.848147,32,1,152.0,62,3.793,17,2022-04-09,9,10470
completedFromNCAA,NCAA D1 Men,0.180894,62,1,73.0,42,10.234,15,2022-04-11,16,10471
completedFromNCAA,NCAA D1 Men,0.793535,59,1,77.0,47,4.937,11,2022-02-26,5,10472
completedFromNCAA,NCAA D1 Men,0.872799,59,1,79.0,48,1.527,9,2022-03-01,7,10473
completedFromNCAA,NCAA D1 Men,0.870325,59,1,119.0,87,2.549,12,2022-03-19,7,10474
completedFromNCAA,NCAA D1 Men,0.0391368,24,1,137.0,59,22.22,6,2022-03-26,12,10475
completedFromNCAA,NCAA D1 Men,0.31923,10,0,93.0,59,29.422,14,2022-04-02,8,10476
completedFromNCAA,NCAA D1 Men,0.292967,69,0,103.0,59,25.365,5,2022-04-16,9,10477
completedFromNCAA,NCAA D1 Men,0.135479,86,1,80.0,59,14.674,6,2022-04-23,8,10478
completedFromNCAA,NCAA D1 Men,0.853843,45,1,166.0,3,3.619,21,2022-02-05,13,10479
completedFromNCAA,NCAA D1 Men,0.74405,54,1,40.0,45,2.322,11,2022-02-11,10,10480
completedFromNCAA,NCAA D1 Men,0.741477,45,0,75.0,11,2.353,11,2022-02-13,10,10481
completedFromNCAA,NCAA D1 Men,0.254931,37,1,82.0,45,25.714,14,2022-03-01,18,10482
completedFromNCAA,NCAA D1 Men,0.34524,35,0,77.0,45,19.102,12,2022-03-20,14,10483
